trip_headsign,Departure Date,Departure Time,Origin,Arrival Time,Destination,Stops
9510,2024-08-10 00:00:00,12:27:00,Stuttgart Hbf,22:46:00,StopPoint:OCEICE-87751008,"[['Stuttgart Hbf', 0, 0, '13:17:00', 3000], ['Mannheim Hbf', '14:12:00', 3600, '14:14:00', 3600], ['Kaiserslautern Hbf', '14:58:00', 3600, '14:59:00', 3600], ['Sarrebruck', '15:36:00', 3600, '15:37:00', 3600], ['StopPoint:OCEICE-87212027', '17:07:00', 3600, '17:15:00', 3600], ['StopPoint:OCEICE-87182063', '18:05:00', 3600, '18:09:00', 3600], ['StopPoint:OCEICE-87300822', '18:31:00', 3600, '18:34:00', 3600], ['StopPoint:OCEICE-87300863', '18:55:00', 3600, '18:58:00', 3600], ['StopPoint:OCEICE-87725002', '19:53:00', 3600, '19:56:00', 3600], ['StopPoint:OCEICE-87723197', '20:56:00', 3600, '21:06:00', 3600], ['StopPoint:OCEICE-87318964', '22:09:00', 3600, '22:12:00', 3600], ['StopPoint:OCEICE-87319012', '22:31:00', 3600, '22:34:00', 3600], ['StopPoint:OCEICE-87751008', '22:46:00', 3600, 0, 0]]"
9770,2024-08-10 00:00:00,12:29:00,Geneve,15:42:00,StopPoint:OCELyria-87686006,"[['Geneve', 0, 0, '12:29:00', 0], ['StopPoint:OCELyria-87745000', '12:58:00', 0, '13:07:00', 300], ['Bourg-en-Bresse', '13:54:00', 300, '13:57:00', 300], ['StopPoint:OCELyria-87686006', '15:42:00', 0, 0, 0]]"
7825,2024-08-10 00:00:00,12:38:00,StopPoint:OCEOUIGO-87686006,16:00:00,StopPoint:OCEOUIGO-87751008,"[['StopPoint:OCEOUIGO-87686006', 0, 0, '12:38:00', 0], ['StopPoint:OCEOUIGO-87318964', '15:17:00', 0, '15:20:00', 0], ['StopPoint:OCEOUIGO-87319012', '15:41:00', 0, '15:44:00', 0], ['StopPoint:OCEOUIGO-87751008', '16:00:00', 0, 0, 0]]"
5284,2024-08-10 00:00:00,12:58:00,Bordeaux Saint-Jean,17:58:00,Lille Europe,"[['Bordeaux Saint-Jean', 0, 0, '12:58:00', 0], ['Angoulême', '13:33:00', 0, '13:36:00', 0], ['Poitiers', '14:16:00', 0, '14:19:00', 0], ['Saint-Pierre-des-Corps', '14:52:00', 0, '14:56:00', 0], ['Massy TGV', '15:47:00', 0, '15:55:00', 0], ['Marne-la-Vallée Chessy', '16:26:00', 0, '16:31:00', 0], ['Aéroport Charles de Gaulle 2 TGV', '16:41:00', 0, '16:47:00', 0], ['TGV Haute Picardie', '17:17:00', 0, '17:31:00', 0], ['Lille Europe', '17:58:00', 0, 0, 0]]"
2209,2024-08-10 00:00:00,13:05:00,Strasbourg,18:50:00,Montpellier Sud de France,"[['Strasbourg', 0, 0, '13:05:00', 0], ['Mulhouse', '13:59:00', 300, '14:02:00', 300], ['Belfort - Montbéliard TGV', '14:23:00', 300, '14:26:00', 300], ['Besançon Franche-Comté TGV', '14:46:00', 300, '14:49:00', 300], ['Dijon', '15:11:00', 0, '15:21:00', 0], ['Mâcon', '16:18:00', 0, '16:21:00', 0], ['Lyon Part Dieu', '16:56:00', 0, '17:10:00', 0], ['Valence TGV Rhône-Alpes Sud', '17:46:00', 0, '17:51:00', 0], ['Nîmes Pont du Gard', '18:27:00', 0, '18:30:00', 0], ['Montpellier Sud de France', '18:50:00', 0, 0, 0]]"
9553,2024-08-10 00:00:00,13:09:00,StopPoint:OCEICE-87113001,17:41:00,Francfort sur le Main,"[['StopPoint:OCEICE-87113001', 0, 0, '13:09:00', 0], ['Sarrebruck', '14:57:00', 0, '14:59:00', 0], ['Kaiserslautern Hbf', '15:35:00', 0, '15:37:00', 0], ['Mannheim Hbf', '16:15:00', 0, '16:26:00', 0], ['Francfort sur le Main', '17:41:00', 0, 0, 0]]"
6482,2024-08-10 00:00:00,13:26:00,Saint-Gervais-les-Bains-Le Fayet,18:21:00,Paris Gare de Lyon Hall 1 - 2,"[['Saint-Gervais-les-Bains-Le Fayet', 0, 0, '13:26:00', 0], ['Sallanches - Combloux - Megève', '13:32:00', 0, '13:37:00', 0], ['Cluses', '13:49:00', 0, '13:54:00', 0], ['Annemasse', '14:26:00', 0, '14:39:00', 0], ['Bellegarde', '15:16:00', 0, '15:19:00', 0], ['Paris Gare de Lyon Hall 1 - 2', '18:21:00', 300, 0, 0]]"
2817,2024-08-10 00:00:00,13:40:00,Paris Est,15:27:00,Thionville,"[['Paris Est', 0, 0, '13:40:00', 0], ['Metz', '15:04:00', 0, '15:10:00', 0], ['Thionville', '15:27:00', 0, 0, 0]]"
8361,2024-08-10 00:00:00,13:40:00,Paris Montparnasse Hall 1 - 2,16:19:00,La Rochelle,"[['Paris Montparnasse Hall 1 - 2', 0, 0, '13:40:00', 0], [""Saint-Maixent-L'École"", '15:17:00', 0, '15:20:00', 0], ['Niort', '15:35:00', 0, '15:38:00', 0], ['Surgères', '15:56:00', 0, '15:59:00', 0], ['La Rochelle', '16:19:00', 0, 0, 0]]"
7653,2024-08-10 00:00:00,13:44:00,StopPoint:OCEOUIGO-87391003,16:07:00,StopPoint:OCEOUIGO-87581009,"[['StopPoint:OCEOUIGO-87391003', 0, 0, '13:44:00', 0], ['StopPoint:OCEOUIGO-87571240', '14:43:00', 0, '14:46:00', 0], ['StopPoint:OCEOUIGO-87581009', '16:07:00', 0, 0, 0]]"
