trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN12249F3272912:2024-07-30T00:27:16Z,20:24:00,20:27:00,StopPoint:OCETGV INOUI-87673400,4,,0,0,
OCESN12249F3272912:2024-07-30T00:27:16Z,20:40:00,20:42:00,StopPoint:OCETGV INOUI-87677120,5,,0,0,
OCESN12249F3272912:2024-07-30T00:27:16Z,20:55:00,20:55:00,StopPoint:OCETGV INOUI-87677005,6,,1,0,
OCESN12249F3298808:2024-07-10T00:42:13Z,16:11:00,16:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12249F3298808:2024-07-10T00:42:13Z,18:14:00,18:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12249F3298808:2024-07-10T00:42:13Z,19:34:00,19:34:00,StopPoint:OCETGV INOUI-87673202,2,,1,0,
OCESN12250F2148759:2024-08-10T00:26:19Z,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F2148759:2024-08-10T00:26:19Z,10:49:00,10:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12250F2470376:2024-08-10T00:26:19Z,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F2470376:2024-08-10T00:26:19Z,10:49:00,10:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12250F2586064:2024-08-10T00:26:19Z,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F2586064:2024-08-10T00:26:19Z,10:49:00,10:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12250F3090954:2024-08-10T00:26:19Z,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F3090954:2024-08-10T00:26:19Z,10:49:00,10:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12251F2181625:2024-08-10T00:26:19Z,07:11:00,07:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12251F2181625:2024-08-10T00:26:19Z,09:14:00,09:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12253F3092202:2024-07-24T00:30:14Z,06:39:00,06:39:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12253F3092202:2024-07-24T00:30:14Z,06:48:00,06:51:00,StopPoint:OCETGV INOUI-87393702,1,,0,1,
OCESN12253F3092202:2024-07-24T00:30:14Z,08:48:00,08:48:00,StopPoint:OCETGV INOUI-87581009,2,,1,0,
OCESN12254F2859338:2024-08-10T00:26:19Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F2859338:2024-08-10T00:26:19Z,12:49:00,12:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12254F2898534:2024-08-10T00:26:19Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F2898534:2024-08-10T00:26:19Z,12:49:00,12:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12254F2899411:2024-08-10T00:26:19Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F2899411:2024-08-10T00:26:19Z,12:49:00,12:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12254F3153367:2024-08-10T00:26:19Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F3153367:2024-08-10T00:26:19Z,12:49:00,12:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12254F3153369:2024-08-10T00:26:19Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F3153369:2024-08-10T00:26:19Z,12:49:00,12:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12254F3217728:2024-08-10T00:26:19Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F3217728:2024-08-10T00:26:19Z,12:49:00,12:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12254F3217729:2024-08-10T00:26:19Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F3217729:2024-08-10T00:26:19Z,12:49:00,12:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12254F3217730:2024-08-10T00:26:19Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
