Trip ID,Departure Date,Departure Time,Arrival Time,Stops,Origin,Destination,trip_headsign
OCESN6919F3159716:2024-09-16T00:23:36Z,20240917,14:14:00,17:43:00,"[['Paris Gare de Lyon Hall 1 - 2', 0, 0, '14:14:00', 0], ['Lyon Saint-Exupéry TGV', '16:22:00', 900, '16:26:00', 900], ['Grenoble', '17:43:00', 1800, 0, 0]]",Paris Gare de Lyon Hall 1 - 2,Grenoble,6919.0
OCESN8485F3096848:2024-09-17T00:20:00Z,20240917,14:16:00,17:47:00,"[['Paris Montparnasse Hall 1 - 2', 0, 0, '14:16:00', 0], ['Saint-Pierre-des-Corps', '15:13:00', 0, '15:17:00', 0], ['Poitiers', '15:51:00', 0, '15:54:00', 0], ['Angoulême', '16:33:00', 0, '16:36:00', 0], ['Libourne', '17:24:00', 300, '17:27:00', 300], ['Bordeaux Saint-Jean', '17:47:00', 300, 0, 0]]",Paris Montparnasse Hall 1 - 2,Bordeaux Saint-Jean,8485.0
OCESN7672F3355480:2024-07-02T00:31:10Z,20240917,14:17:00,18:52:00,"[['Toulouse Matabiau', 0, 0, '14:17:00', 0], ['Montauban Ville Bourbon', '14:48:00', 0, '14:51:00', 0], ['Agen', '15:31:00', 0, '15:34:00', 0], ['Bordeaux Saint-Jean', '16:40:00', 0, '16:46:00', 0], ['Paris Montparnasse Hall 1 - 2', '18:52:00', 0, 0, 0]]",Toulouse Matabiau,Paris Montparnasse Hall 1 - 2,7672.0
OCESN5386F2895463:2024-09-17T00:20:00Z,20240917,14:36:00,20:45:00,"[['Marseille Saint-Charles', 0, 0, '14:36:00', 0], ['Aix-en-Provence TGV', '15:07:00', 1200, '15:10:00', 1200], ['Avignon TGV', '15:30:00', 1200, '15:35:00', 1200], ['Lyon Part Dieu', '16:40:00', 1200, '16:45:00', 900], ['Massy TGV', '18:49:00', 900, '18:56:00', 900], ['Le Mans', '19:44:00', 900, '19:47:00', 900], ['Laval', '20:17:00', 900, '20:21:00', 900], ['Rennes', '20:45:00', 900, 0, 0]]",Marseille Saint-Charles,Rennes,5386.0
OCESN9580F3156809:2024-09-16T00:23:36Z,20240917,14:39:00,21:46:00,"[['Mannheim Hbf', 0, 0, '14:39:00', 0], ['Karlsruhe Hbf', '15:14:00', 600, '15:22:00', 600], ['Baden-Baden', '15:39:00', 300, '15:40:00', 300], ['Strasbourg', '16:09:00', 300, '16:16:00', 0], ['Mulhouse', '17:05:00', 0, '17:09:00', 0], ['Belfort - Montbéliard TGV', '17:31:00', 0, '17:34:00', 0], ['Besançon Franche-Comté TGV', '17:55:00', 0, '17:58:00', 0], ['Chalon-sur-Saône', '18:53:00', 0, '18:56:00', 0], ['Lyon Part Dieu', '19:56:00', 0, '20:06:00', 0], ['Avignon TGV', '21:09:00', 0, '21:12:00', 0], ['Aix-en-Provence TGV', '21:31:00', 0, '21:34:00', 0], ['Marseille Saint-Charles', '21:46:00', 0, 0, 0]]",Mannheim Hbf,Marseille Saint-Charles,9580.0
OCESN6850F3135425:2024-07-03T00:30:15Z,20240917,14:40:00,19:25:00,"[['Nice-Ville', 0, 0, '14:40:00', 0], ['Antibes', '14:53:00', 0, '14:56:00', 0], ['Cannes', '15:03:00', 0, '15:07:00', 0], ['Saint-Raphaël Valescure', '15:27:00', 0, '15:30:00', 0], ['Toulon', '16:17:00', 0, '16:21:00', 0], ['Marseille Saint-Charles', '17:03:00', 0, '17:18:00', 0], ['Aix-en-Provence TGV', '17:36:00', 300, '17:39:00', 300], ['Avignon TGV', '18:00:00', 300, '18:07:00', 300], ['Valence TGV Rhône-Alpes Sud', '18:45:00', 300, '18:50:00', 300], ['Lyon Part Dieu', '19:25:00', 300, 0, 0]]",Nice-Ville,Lyon Part Dieu,6850.0
OCESN9715F,20240917,14:42:00,20:18:00,"[['Paris Gare de Lyon Hall 1 - 2', 0, 0, '14:42:00', 0], ['Valence TGV Rhône-Alpes Sud', '17:12:00', 1200, '17:15:00', 1200], ['Nîmes Centre', '18:01:00', 1200, '18:05:00', 1200], ['Montpellier Saint-Roch', '18:31:00', 1200, '18:37:00', 1200], ['Sète', '18:53:00', 1200, '18:56:00', 1200], ['Agde', '19:08:00', 1200, '19:11:00', 1200], ['Béziers', '19:23:00', 1200, '19:26:00', 1200], ['Narbonne', '19:39:00', 1200, '19:42:00', 1200], ['Perpignan', '20:18:00', 1200, 0, 0]]",Paris Gare de Lyon Hall 1 - 2,Perpignan,
OCESN8623F3091691:2024-09-16T00:23:36Z,20240917,14:44:00,18:40:00,"[['Paris Montparnasse Hall 1 - 2', 0, 0, '14:44:00', 0], ['Laval', '15:55:00', 0, '15:58:00', 0], ['Rennes', '16:23:00', 0, '16:31:00', 0], ['Saint-Brieuc', '17:15:00', 0, '17:18:00', 0], ['Guingamp', '17:32:00', 0, '17:35:00', 0], ['Morlaix', '18:03:00', 0, '18:06:00', 0], ['Brest', '18:40:00', 0, 0, 0]]",Paris Montparnasse Hall 1 - 2,Brest,8623.0
OCESN8723F2598053:2024-09-16T00:23:36Z,20240917,14:44:00,18:41:00,"[['Paris Montparnasse Hall 1 - 2', 0, 0, '14:44:00', 0], ['Laval', '15:55:00', 0, '15:58:00', 0], ['Rennes', '16:23:00', 0, '16:27:00', 0], ['Redon', '17:01:00', 0, '17:04:00', 0], ['Vannes', '17:26:00', 0, '17:44:00', 900], ['Lorient', '17:56:00', 180, '17:57:00', 60], ['Quimperlé', '18:07:00', 0, '18:09:00', 0], ['Rosporden', '18:23:00', 0, '18:26:00', 0], ['Quimper', '18:41:00', 0, 0, 0]]",Paris Montparnasse Hall 1 - 2,Quimper,8723.0
OCESN6920F3382593:2024-09-16T00:23:36Z,20240917,14:47:00,17:56:00,"[['Grenoble', 0, 0, '14:47:00', 0], ['Lyon Saint-Exupéry TGV', '15:48:00', 0, '15:54:00', 0], ['Paris Gare de Lyon Hall 1 - 2', '17:56:00', 600, 0, 0]]",Grenoble,Paris Gare de Lyon Hall 1 - 2,6920.0
OCESN9255F3372134:2024-09-17T00:20:00Z,20240917,14:48:00,23:30:00,"[['Paris Gare de Lyon Hall 1 - 2', 0, 0, '14:48:00', 0], ['Chambéry - Challes-les-Eaux', '18:06:00', 1800, '18:14:00', 1800], ['Saint-Jean-de-Maurienne Arvan', '18:55:00', 1800, '19:20:00', 1800], ['OULX CESANA CLAVIERE SESTRIERE', '20:30:00', 1200, '21:12:00', 1200], ['Turin Porta Susa', '21:46:00', 0, '21:48:00', 0], ['MILANO PORTA GARIBALDI', '23:30:00', 1200, 0, 0]]",Paris Gare de Lyon Hall 1 - 2,MILANO PORTA GARIBALDI,9255.0
OCESN9864F3156618:2024-09-16T00:23:36Z,20240917,14:51:00,20:43:00,"[['Montpellier Saint-Roch', 0, 0, '14:51:00', 0], ['Nîmes Centre', '15:16:00', 0, '15:19:00', 0], ['Valence TGV Rhône-Alpes Sud', '16:09:00', 0, '16:15:00', 0], ['Lyon Part Dieu', '16:49:00', 0, '17:00:00', 0], ['Marne-la-Vallée Chessy', '18:47:00', 0, '18:51:00', 0], ['Aéroport Charles de Gaulle 2 TGV', '19:01:00', 0, '19:07:00', 0], ['Lille Europe', '19:58:00', 0, '20:09:00', 0], ['Bruxelles Midi', '20:43:00', 0, 0, 0]]",Montpellier Saint-Roch,Bruxelles Midi,9864.0
OCESN9572F3392505:2024-09-17T00:20:00Z,20240917,14:52:00,18:16:00,"[['Stuttgart Hbf', 0, 0, '14:52:00', 0], ['Karlsruhe Hbf', '15:30:00', 0, '15:37:00', 300], ['Strasbourg', '16:23:00', 300, '16:31:00', 0], ['Paris Est', '18:16:00', 0, 0, 0]]",Stuttgart Hbf,Paris Est,9572.0
OCESN9704F,20240917,14:59:00,20:18:00,"[['Perpignan', 0, 0, '14:59:00', 0], ['Narbonne', '15:36:00', 0, '15:39:00', 0], ['Béziers', '15:52:00', 0, '15:55:00', 0], ['Agde', '16:06:00', 0, '16:09:00', 0], ['Sète', '16:21:00', 0, '16:24:00', 0], ['Montpellier Saint-Roch', '16:43:00', 0, '16:50:00', 0], ['Nîmes Centre', '17:15:00', 0, '17:19:00', 0], ['Valence TGV Rhône-Alpes Sud', '18:02:00', 0, '18:05:00', 0], ['Paris Gare de Lyon Hall 1 - 2', '20:18:00', 0, 0, 0]]",Perpignan,Paris Gare de Lyon Hall 1 - 2,
OCESN6122F3164080:2024-09-16T00:23:36Z,20240917,15:02:00,18:47:00,"[['Marseille Saint-Charles', 0, 0, '15:02:00', 0], ['Aix-en-Provence TGV', '15:45:00', 1800, '15:48:00', 1800], ['Avignon TGV', '16:08:00', 1800, '16:11:00', 1800], ['Paris Gare de Lyon Hall 1 - 2', '18:47:00', 1500, 0, 0]]",Marseille Saint-Charles,Paris Gare de Lyon Hall 1 - 2,6122.0
OCESN9832F3171976:2024-09-17T00:20:00Z,20240917,15:03:00,19:50:00,"[['Bruxelles Midi', 0, 0, '15:03:00', 0], ['Lille Europe', 0, 0, '15:52:00', 0], ['Aéroport Charles de Gaulle 2 TGV', '16:44:00', 0, '16:49:00', 0], ['Marne-la-Vallée Chessy', '16:58:00', 0, '17:02:00', 0], ['Massy TGV', '17:33:00', 0, '17:41:00', 0], ['Le Mans', '18:29:00', 0, '18:32:00', 0], ['Angers Saint-Laud', '19:10:00', 0, '19:13:00', 0], ['Nantes', '19:50:00', 0, 0, 0]]",Bruxelles Midi,Nantes,9832.0
OCESN7856F3176820:2024-08-18T00:24:50Z,20240917,15:05:00,21:02:00,"[['Nice-Ville', 0, 0, '15:25:00', 1200], ['Antibes', '15:39:00', 1200, '15:42:00', 1200], ['Cannes', '15:52:00', 1200, '15:55:00', 1200], ['Saint-Raphaël Valescure', '16:15:00', 1200, '16:18:00', 1200], ['Toulon', '17:05:00', 1200, '17:09:00', 1200], ['Aix-en-Provence TGV', '17:59:00', 1200, '18:02:00', 1200], ['Paris Gare de Lyon Hall 1 - 2', '21:02:00', 1200, 0, 0]]",Nice-Ville,Paris Gare de Lyon Hall 1 - 2,7856.0
OCESN8509F3097194:2024-09-16T00:23:36Z,20240917,15:11:00,19:27:00,"[['Paris Montparnasse Hall 1 - 2', 0, 0, '15:16:00', 300], ['Bordeaux Saint-Jean', '17:14:00', 0, '17:20:00', 0], ['Toulouse Matabiau', '19:27:00', 0, 0, 0]]",Paris Montparnasse Hall 1 - 2,Toulouse Matabiau,8509.0
OCESN8730F3391160:2024-09-17T00:20:00Z,20240917,15:12:00,19:02:00,"[['Quimper', 0, 0, '15:12:00', 0], ['Rosporden', '15:23:00', 0, '15:26:00', 0], ['Quimperlé', '15:39:00', 0, '15:41:00', 0], ['Lorient', '15:52:00', 0, '15:55:00', 0], ['Auray', '16:10:00', 0, '16:13:00', 0], ['Vannes', '16:23:00', 0, '16:26:00', 0], ['Rennes', '17:25:00', 0, '17:35:00', 0], ['Paris Montparnasse Hall 1 - 2', '19:02:00', 0, 0, 0]]",Quimper,Paris Montparnasse Hall 1 - 2,8730.0
OCESN9563F3156821:2024-09-17T00:20:00Z,20240917,15:12:00,19:44:00,"[['Paris Est', 0, 0, '15:12:00', 0], ['Strasbourg', '16:59:00', 0, '17:08:00', 0], ['Karlsruhe Hbf', '17:53:00', 0, '17:55:00', 0], ['Mannheim Hbf', '18:18:00', 0, 0, 0], ['Francfort sur le Main', '19:44:00', 0, 0, 0]]",Paris Est,Francfort sur le Main,9563.0
