trip_headsign,Departure Date,Departure Time,Origin,Arrival Time,Destination,Stops
5240,2024-09-17,17:16:00,Lille Flandres,22:02:00,Bordeaux Saint-Jean,"[['Lille Flandres', 0, 0, '17:16:00', 0], ['Aéroport Charles de Gaulle 2 TGV', '18:10:00', 0, '18:18:00', 0], ['Marne-la-Vallée Chessy', '18:27:00', 0, '18:32:00', 0], ['Massy TGV', '19:04:00', 0, '19:12:00', 0], ['Saint-Pierre-des-Corps', '20:03:00', 0, '20:07:00', 0], ['Poitiers', '20:39:00', 0, '20:42:00', 0], ['Angoulême', '21:22:00', 0, '21:25:00', 0], ['Bordeaux Saint-Jean', '22:02:00', 0, 0, 0]]"
7134,2024-09-17,17:16:00,Valenciennes,19:09:00,Paris Gare du Nord,"[['Valenciennes', 0, 0, '17:16:00', 0], ['Douai', '17:40:00', 0, '17:51:00', 0], ['Arras', '18:06:00', 0, '18:18:00', 0], ['Paris Gare du Nord', '19:09:00', 0, 0, 0]]"
8318,2024-09-17,17:17:00,Tours,18:36:00,Paris Montparnasse Hall 1 - 2,"[['Tours', 0, 0, '17:17:00', 0], ['Saint-Pierre-des-Corps', '17:22:00', 0, '17:28:00', 0], ['Vendôme - Villiers-sur-Loir', '17:46:00', 0, '17:49:00', 0], ['Paris Montparnasse Hall 1 - 2', '18:36:00', 0, 0, 0]]"
2062,2024-09-17,17:19:00,Strasbourg,19:10:00,Paris Est,"[['Strasbourg', 0, 0, '17:24:00', 300], ['Paris Est', '19:10:00', 300, 0, 0]]"
8344,2024-09-17,17:19:00,Poitiers,18:57:00,Paris Montparnasse Hall 1 - 2,"[['Poitiers', 0, 0, '17:19:00', 0], ['Saint-Pierre-des-Corps', '17:52:00', 0, '17:56:00', 0], ['Paris Montparnasse Hall 1 - 2', '18:57:00', 0, 0, 0]]"
8516,2024-09-17,17:19:00,Toulouse Matabiau,21:54:00,Paris Montparnasse Hall 1 - 2,"[['Toulouse Matabiau', 0, 0, '17:19:00', 0], ['Montauban Ville Bourbon', '17:54:00', 300, '17:57:00', 300], ['Agen', '18:36:00', 300, '18:39:00', 300], ['Bordeaux Saint-Jean', '19:45:00', 300, '19:51:00', 300], ['Paris Montparnasse Hall 1 - 2', '21:54:00', 300, 0, 0]]"
8642,2024-09-17,17:19:00,Brest,21:04:00,Paris Montparnasse Hall 1 - 2,"[['Brest', 0, 0, '17:19:00', 0], ['Morlaix', '17:49:00', 0, '17:52:00', 0], ['Guingamp', '18:20:00', 0, '18:23:00', 0], ['Saint-Brieuc', '18:38:00', 0, '18:41:00', 0], ['Rennes', '19:29:00', 0, '19:35:00', 0], ['Paris Montparnasse Hall 1 - 2', '21:04:00', 0, 0, 0]]"
6181,2024-09-17,17:22:00,Paris Gare de Lyon Hall 1 - 2,21:37:00,Toulon,"[['Paris Gare de Lyon Hall 1 - 2', 0, 0, '17:22:00', 0], ['Aix-en-Provence TGV', '20:17:00', 0, '20:20:00', 0], ['Marseille Saint-Charles', '20:32:00', 0, '20:48:00', 0], ['Toulon', '21:37:00', 0, 0, 0]]"
6198,2024-09-17,17:22:00,Miramas,21:56:00,Paris Gare de Lyon Hall 1 - 2,"[['Miramas', 0, 0, '17:37:00', 900], ['Arles', '17:55:00', 900, '17:58:00', 900], ['Avignon Centre', '18:15:00', 900, '18:18:00', 900], ['Orange', '18:27:00', 600, '18:30:00', 600], ['Montélimar', '18:55:00', 600, '18:58:00', 600], ['Valence Ville', '19:20:00', 600, '19:23:00', 600], ['Lyon Saint-Exupéry TGV', '19:52:00', 600, '20:04:00', 600], ['Paris Gare de Lyon Hall 1 - 2', '21:56:00', 600, 0, 0]]"
8817,2024-09-17,17:23:00,Paris Montparnasse Hall 1 - 2,19:20:00,Nantes,"[['Paris Montparnasse Hall 1 - 2', 0, 0, '17:23:00', 0], ['Nantes', '19:20:00', 0, 0, 0]]"
