trip_headsign,Departure Date,Departure Time,Origin,Arrival Time,Destination,Stops
6873,2024-08-12,15:38:00,Toulouse Matabiau,19:50:00,Lyon Part Dieu,"[['Toulouse Matabiau', 0, 0, '15:38:00', 0], ['Carcassonne', '16:21:00', 0, '16:24:00', 0], ['Narbonne', '16:53:00', 0, '16:56:00', 0], ['Béziers', '17:09:00', 0, '17:12:00', 0], ['Sète', '17:34:00', 0, '17:37:00', 0], ['Montpellier Saint-Roch', '17:55:00', 0, '17:59:00', 0], ['Nîmes Centre', '18:24:00', 0, '18:27:00', 0], ['Valence TGV Rhône-Alpes Sud', '19:10:00', 0, '19:15:00', 0], ['Lyon Part Dieu', '19:50:00', 0, 0, 0]]"
6706,2024-08-12,15:40:00,Mulhouse,18:42:00,Paris Gare de Lyon Hall 1 - 2,"[['Mulhouse', 0, 0, '15:40:00', 0], ['Belfort - Montbéliard TGV', '16:02:00', 0, '16:05:00', 0], ['Besançon Franche-Comté TGV', '16:25:00', 0, '16:28:00', 0], ['Dijon', '16:56:00', 0, '17:00:00', 0], ['Montbard', '17:35:00', 0, '17:38:00', 0], ['Paris Gare de Lyon Hall 1 - 2', '18:42:00', 0, 0, 0]]"
8984,2024-08-12,15:44:00,Les Sables-d'Olonne,19:12:00,Paris Montparnasse Hall 1 - 2,"[[""Les Sables-d'Olonne"", 0, 0, '15:44:00', 0], ['La Roche-sur-Yon', '16:08:00', 0, '16:11:00', 0], ['Nantes', '16:57:00', 0, '17:08:00', 0], ['Angers Saint-Laud', '17:45:00', 0, '17:49:00', 0], ['Paris Montparnasse Hall 1 - 2', '19:12:00', 0, 0, 0]]"
5192,2024-08-12,15:45:00,Lyon Perrache,19:54:00,Lille Flandres,"[['Lyon Perrache', 0, 0, '15:50:00', 300], ['Lyon Part Dieu', '15:58:00', 300, '16:04:00', 300], ['Marne-la-Vallée Chessy', '17:57:00', 600, '18:01:00', 600], ['Aéroport Charles de Gaulle 2 TGV', '18:11:00', 600, '18:17:00', 600], ['TGV Haute Picardie', '18:45:00', 600, '18:48:00', 600], ['Arras', '19:04:00', 600, '19:10:00', 600], ['Douai', '19:24:00', 600, '19:30:00', 600], ['Lille Flandres', '19:54:00', 600, 0, 0]]"
8086,2024-08-12,15:47:00,Saint-Malo,18:17:00,Paris Montparnasse Hall 1 - 2,"[['Saint-Malo', 0, 0, '15:47:00', 0], ['Dol-de-Bretagne', '16:00:00', 0, '16:03:00', 0], ['Rennes', '16:34:00', 0, '16:43:00', 0], ['Paris Montparnasse Hall 1 - 2', '18:17:00', 0, 0, 0]]"
8380,2024-08-12,15:47:00,La Rochelle,19:08:00,Paris Montparnasse Hall 1 - 2,"[['La Rochelle', 0, 0, '15:47:00', 0], ['Niort', '16:22:00', 0, '16:25:00', 0], [""Saint-Maixent-L'École"", '16:38:00', 0, '17:01:00', 1200], ['Poitiers', '17:27:00', 900, '17:30:00', 900], ['Paris Montparnasse Hall 1 - 2', '19:08:00', 1800, 0, 0]]"
7623,2024-08-12,15:48:00,Paris Montparnasse Hall 1 - 2,17:50:00,Nantes,"[['Paris Montparnasse Hall 1 - 2', 0, 0, '15:48:00', 0], ['Angers Saint-Laud', '17:09:00', 0, '17:12:00', 0], ['Nantes', '17:50:00', 0, 0, 0]]"
6624,2024-08-12,15:50:00,Lyon Perrache,18:23:00,Paris Gare de Lyon Hall 1 - 2,"[['Lyon Perrache', 0, 0, '15:50:00', 0], ['Lyon Part Dieu', '15:58:00', 0, '16:04:00', 0], ['Le Creusot-TGV', '16:58:00', 900, '17:01:00', 900], ['Paris Gare de Lyon Hall 1 - 2', '18:23:00', 900, 0, 0]]"
7898,2024-08-12,15:50:00,Toulon,20:07:00,Aéroport Charles de Gaulle 2 TGV,"[['Toulon', 0, 0, '15:50:00', 0], ['Aix-en-Provence TGV', '16:40:00', 0, '16:48:00', 300], ['Lyon Saint-Exupéry TGV', '17:59:00', 0, '18:04:00', 0], ['Marne-la-Vallée Chessy', '19:47:00', 0, '19:53:00', 0], ['Aéroport Charles de Gaulle 2 TGV', '20:07:00', 0, 0, 0]]"
7872,2024-08-12,15:51:00,Montpellier Sud de France,19:04:00,Paris Gare de Lyon Hall 1 - 2,"[['Montpellier Sud de France', 0, 0, '15:51:00', 0], ['Nîmes Pont du Gard', '16:09:00', 0, '16:13:00', 0], ['Valence TGV Rhône-Alpes Sud', '16:50:00', 0, '16:53:00', 0], ['Paris Gare de Lyon Hall 1 - 2', '19:04:00', 0, 0, 0]]"
6621,2024-08-12,15:52:00,Paris Gare de Lyon Hall 1 - 2,18:14:00,Lyon Perrache,"[['Paris Gare de Lyon Hall 1 - 2', 0, 0, '15:52:00', 0], ['Le Creusot-TGV', '17:12:00', 0, '17:15:00', 0], ['Mâcon - Loché TGV', '17:33:00', 0, '17:36:00', 0], ['Lyon Part Dieu', '18:00:00', 0, '18:06:00', 0], ['Lyon Perrache', '18:14:00', 0, 0, 0]]"
2096,2024-08-12,15:56:00,Marseille Saint-Charles,22:07:00,Strasbourg,"[['Marseille Saint-Charles', 0, 0, '15:56:00', 0], ['Aix-en-Provence TGV', '16:07:00', 0, '16:10:00', 0], ['Avignon TGV', '16:30:00', 0, '16:33:00', 0], ['Valence TGV Rhône-Alpes Sud', '17:09:00', 0, '17:14:00', 0], ['Lyon Part Dieu', '17:50:00', 0, '18:03:00', 0], ['Chalon-sur-Saône', '19:03:00', 0, '19:05:00', 0], ['Dijon', '19:39:00', 0, '19:49:00', 0], ['Besançon Franche-Comté TGV', '20:16:00', 0, '20:19:00', 0], ['Belfort - Montbéliard TGV', '20:40:00', 0, '20:45:00', 0], ['Mulhouse', '21:08:00', 0, '21:12:00', 0], ['Strasbourg', '22:07:00', 0, 0, 0]]"
2580,2024-08-12,15:56:00,Remiremont,18:46:00,Paris Est,"[['Remiremont', 0, 0, '15:56:00', 0], ['Épinal', '16:17:00', 0, '16:21:00', 0], ['Nancy', '17:06:00', 0, '17:16:00', 0], ['Paris Est', '18:46:00', 0, 0, 0]]"
5316,2024-08-12,15:56:00,Le Havre,22:34:00,Marseille Saint-Charles,"[['Le Havre', 0, 0, '15:56:00', 0], ['Rouen Rive Droite', '16:39:00', 0, '16:44:00', 0], ['Mantes-la-Jolie', '17:41:00', 600, '17:44:00', 600], ['Versailles Chantiers', '18:18:00', 600, '18:21:00', 600], ['Massy-Palaiseau', '18:34:00', 600, '18:37:00', 600], ['Lyon Part Dieu', '20:40:00', 600, '20:50:00', 600], ['Valence TGV Rhône-Alpes Sud', '21:24:00', 600, '21:29:00', 600], ['Avignon TGV', '22:01:00', 600, '22:04:00', 600], ['Marseille Saint-Charles', '22:34:00', 600, 0, 0]]"
7330,2024-08-12,15:56:00,Dunkerque,18:13:00,Paris Gare du Nord,"[['Dunkerque', 0, 0, '15:56:00', 0], ['Hazebrouck', '16:17:00', 0, '16:20:00', 0], ['Béthune', '16:41:00', 0, '16:44:00', 0], ['Lens', '16:55:00', 0, '16:58:00', 0], ['Arras', '17:11:00', 0, '17:23:00', 300], ['Paris Gare du Nord', '18:13:00', 300, 0, 0]]"
9896,2024-08-12,15:56:00,Marseille Saint-Charles,23:02:00,Metz,"[['Marseille Saint-Charles', 0, 0, '15:56:00', 0], ['Aix-en-Provence TGV', '16:07:00', 0, '16:10:00', 0], ['Avignon TGV', '16:30:00', 0, '16:33:00', 0], ['Valence TGV Rhône-Alpes Sud', '17:09:00', 0, '17:14:00', 0], ['Lyon Part Dieu', '17:50:00', 0, '18:03:00', 0], ['Chalon-sur-Saône', '19:03:00', 0, '19:05:00', 0], ['Dijon', '19:39:00', 0, '19:49:00', 0], ['Besançon Franche-Comté TGV', '20:16:00', 0, '20:19:00', 0], ['Belfort - Montbéliard TGV', '20:40:00', 0, '20:45:00', 0], ['Mulhouse', '21:08:00', 0, '21:12:00', 0], ['Strasbourg', '22:07:00', 0, '22:14:00', 0], ['Metz', '23:02:00', 0, 0, 0]]"
8690,2024-08-12,15:59:00,Lannion,19:04:00,Paris Montparnasse Hall 1 - 2,"[['Lannion', 0, 0, '15:59:00', 0], ['Saint-Brieuc', '16:39:00', 0, '16:43:00', 0], ['Rennes', '17:29:00', 0, '17:35:00', 0], ['Paris Montparnasse Hall 1 - 2', '19:04:00', 0, 0, 0]]"
5460,2024-08-12,16:03:00,Rennes,21:04:00,Strasbourg,"[['Rennes', 0, 0, '16:08:00', 300], ['Le Mans', '16:55:00', 300, '16:58:00', 60], ['Massy TGV', '17:47:00', 0, '17:55:00', 0], ['Marne-la-Vallée Chessy', '18:23:00', 0, '18:28:00', 0], ['Aéroport Charles de Gaulle 2 TGV', '18:37:00', 0, '18:53:00', 0], ['Champagne-Ardenne TGV', '19:29:00', 0, '19:35:00', 0], ['Meuse TGV', '20:00:00', 0, '20:07:00', 0], ['Lorraine TGV', '20:25:00', 0, '20:28:00', 0], ['Strasbourg', '21:04:00', 0, 0, 0]]"
6168,2024-08-12,16:03:00,Nice-Ville,21:50:00,Paris Gare de Lyon Hall 1 - 2,"[['Nice-Ville', 0, 0, '16:03:00', 0], ['Antibes', '16:17:00', 0, '16:20:00', 0], ['Cannes', '16:29:00', 0, '16:33:00', 0], ['Saint-Raphaël Valescure', '16:55:00', 0, '16:58:00', 0], ['Toulon', '17:45:00', 0, '17:49:00', 0], ['Marseille Saint-Charles', '18:32:00', 0, '18:49:00', 0], ['Paris Gare de Lyon Hall 1 - 2', '21:50:00', 0, 0, 0]]"
6024,2024-08-12,16:04:00,Marseille Saint-Charles,19:22:00,Paris Gare de Lyon Hall 1 - 2,"[['Marseille Saint-Charles', 0, 0, '16:04:00', 0], ['Aix-en-Provence TGV', '16:15:00', 0, '16:18:00', 0], ['Avignon TGV', '16:38:00', 0, '16:41:00', 0], ['Paris Gare de Lyon Hall 1 - 2', '19:22:00', 0, 0, 0]]"
8544,2024-08-12,16:05:00,Hendaye,20:55:00,Paris Montparnasse Hall 1 - 2,"[['Hendaye', 0, 0, '16:05:00', 0], ['Saint-Jean-de-Luz - Ciboure', '16:16:00', 0, '16:19:00', 0], ['Biarritz', '16:29:00', 0, '16:32:00', 0], ['Bayonne', '16:44:00', 0, '16:47:00', 0], ['Dax', '17:16:00', 0, '17:21:00', 0], ['Bordeaux Saint-Jean', '18:40:00', 0, '18:46:00', 0], ['Massy TGV', '20:42:00', 0, '20:45:00', 0], ['Paris Montparnasse Hall 1 - 2', '20:55:00', 0, 0, 0]]"
8447,2024-08-12,16:06:00,Paris Montparnasse Hall 1 - 2,19:05:00,Bordeaux Saint-Jean,"[['Paris Montparnasse Hall 1 - 2', 0, 0, '16:11:00', 300], ['Poitiers', '17:44:00', 1200, '17:48:00', 1200], ['Angoulême', '18:26:00', 1200, '18:29:00', 1200], ['Bordeaux Saint-Jean', '19:05:00', 1200, 0, 0]]"
7853,2024-08-12,16:10:00,Paris Gare de Lyon Hall 1 - 2,22:41:00,Nice-Ville,"[['Paris Gare de Lyon Hall 1 - 2', 0, 0, '16:10:00', 0], ['Valence TGV Rhône-Alpes Sud', '19:04:00', 2400, '19:09:00', 2400], ['Toulon', '20:51:00', 2400, '20:55:00', 2400], ['Les Arcs - Draguignan', '21:29:00', 2400, '21:32:00', 2400], ['Cannes', '22:07:00', 2400, '22:11:00', 2400], ['Antibes', '22:19:00', 2400, '22:22:00', 2400], ['Nice-Ville', '22:41:00', 2400, 0, 0]]"
7534,2024-08-12,16:11:00,Rang-du-Fliers - Verton - Berck,19:09:00,Paris Gare du Nord,"[['Rang-du-Fliers - Verton - Berck', 0, 0, '16:11:00', 0], ['Étaples - Le Touquet', '16:19:00', 0, '16:22:00', 0], ['Boulogne sur Mer', '16:37:00', 0, '16:40:00', 0], ['Calais - Fréthun', '17:05:00', 0, '17:15:00', 0], ['Lille Europe', '17:45:00', 0, '17:52:00', 0], ['Arras', '18:13:00', 0, '18:18:00', 0], ['Paris Gare du Nord', '19:09:00', 0, 0, 0]]"
